t: 30.225
nCells: 20x20, dx: 0.1, dy: 0.1

u (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       21|        0     1.55     1.36     1.26     1.21     1.17     1.16     1.15     1.15     1.14     1.15     1.15     1.15     1.16     1.17     1.19     1.22     1.28     1.42     1.55        0
       20|        0    0.445    0.643    0.739    0.795    0.825    0.842     0.85    0.854    0.855    0.854    0.853     0.85    0.844    0.833    0.814    0.778    0.717    0.585    0.445        0
       19|        0     0.14    0.298    0.405    0.463    0.494    0.509    0.518    0.522    0.525    0.525    0.527    0.523    0.523    0.511    0.508    0.475    0.439    0.357    0.198        0
       18|        0    0.132    0.215    0.263    0.287    0.299    0.304    0.306    0.305    0.306    0.304    0.305    0.302    0.303    0.299    0.293    0.279    0.252    0.203   0.0962        0
       17|        0   0.0608   0.0965    0.124    0.138    0.143    0.145    0.144    0.145    0.144    0.146    0.146    0.149    0.149    0.153    0.152    0.151    0.137    0.113   0.0553        0
       16|        0   0.0366    0.069   0.0826   0.0834   0.0793   0.0747   0.0698    0.067   0.0642   0.0645   0.0635   0.0665   0.0665    0.072   0.0736   0.0777   0.0735   0.0617   0.0303        0
       15|        0   0.0192   0.0231   0.0295   0.0304   0.0288   0.0273   0.0263   0.0258   0.0253   0.0256   0.0253   0.0269   0.0273   0.0319   0.0333   0.0379   0.0359   0.0314   0.0167        0
       14|        0   0.0109   0.0229   0.0264   0.0227   0.0173   0.0127   0.0102  0.00931  0.00906   0.0092  0.00925   0.0099   0.0104    0.013    0.014   0.0189   0.0194   0.0172  0.00843        0
       13|        0  0.00523  0.00459  0.00446  0.00418  0.00421  0.00384   0.0033  0.00302  0.00296  0.00302  0.00306  0.00327  0.00355  0.00443  0.00487  0.00769   0.0067  0.00738  0.00352        0
       12|        0  0.00368  0.00753  0.00956  0.00642  0.00338  0.00178  0.00112 0.000911 0.000872 0.000887 0.000897 0.000936 0.000998  0.00125  0.00184  0.00462  0.00538  0.00491  0.00144        0
       11|        0  0.00125-0.000697  -0.0013-0.000972 5.33e-05 0.000275 0.000233  0.00019  0.00018 0.000183  0.00018 0.000165 0.000105-3.99e-05-0.000344-0.000618 -0.00258-0.000964-0.000637        0
       10|        0 0.000637 0.000964  0.00258 0.000619 0.000344    4e-05-0.000105-0.000165 -0.00018-0.000182 -0.00018-0.000189-0.000232-0.000275-5.31e-05 0.000972   0.0013 0.000697 -0.00125        0
        9|        0 -0.00144 -0.00491 -0.00538 -0.00462 -0.00184 -0.00125-0.000997-0.000936-0.000896-0.000887-0.000872-0.000911 -0.00112 -0.00178 -0.00338 -0.00642 -0.00956 -0.00753 -0.00368        0
        8|        0 -0.00352 -0.00738  -0.0067 -0.00769 -0.00487 -0.00443 -0.00355 -0.00327 -0.00306 -0.00302 -0.00296 -0.00302  -0.0033 -0.00384 -0.00421 -0.00418 -0.00446 -0.00459 -0.00523        0
        7|        0 -0.00843  -0.0172  -0.0194  -0.0189   -0.014   -0.013  -0.0104  -0.0099 -0.00925  -0.0092 -0.00906 -0.00931  -0.0102  -0.0127  -0.0173  -0.0227  -0.0264  -0.0229  -0.0109        0
        6|        0  -0.0167  -0.0314  -0.0359  -0.0379  -0.0333  -0.0319  -0.0273  -0.0269  -0.0253  -0.0256  -0.0253  -0.0258  -0.0263  -0.0273  -0.0288  -0.0304  -0.0295  -0.0231  -0.0192        0
        5|        0  -0.0303  -0.0617  -0.0735  -0.0777  -0.0736   -0.072  -0.0665  -0.0665  -0.0635  -0.0645  -0.0642   -0.067  -0.0698  -0.0747  -0.0793  -0.0834  -0.0826   -0.069  -0.0366        0
        4|        0  -0.0553   -0.113   -0.137   -0.151   -0.152   -0.153   -0.149   -0.149   -0.146   -0.146   -0.144   -0.145   -0.144   -0.145   -0.143   -0.138   -0.124  -0.0965  -0.0608        0
        3|        0  -0.0962   -0.203   -0.252   -0.279   -0.293   -0.299   -0.303   -0.302   -0.305   -0.304   -0.306   -0.305   -0.306   -0.304   -0.299   -0.287   -0.263   -0.215   -0.132        0
        2|        0   -0.198   -0.357   -0.439   -0.475   -0.508   -0.511   -0.523   -0.523   -0.527   -0.525   -0.525   -0.522   -0.518   -0.509   -0.494   -0.463   -0.405   -0.298    -0.14        0
        1|        0   -0.445   -0.585   -0.717   -0.778   -0.814   -0.833   -0.844    -0.85   -0.853   -0.854   -0.855   -0.854    -0.85   -0.842   -0.825   -0.795   -0.739   -0.643   -0.445        0
        0|        0    -1.55    -1.42    -1.28    -1.22    -1.19    -1.17    -1.16    -1.15    -1.15    -1.15    -1.14    -1.15    -1.15    -1.16    -1.17    -1.21    -1.26    -1.36    -1.55        0

v (22x22): 
         |        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19       20       21
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        2        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0        0       -2
       19|     1.55    0.445    0.198   0.0962   0.0553   0.0303   0.0167  0.00843  0.00352  0.00144-0.000637 -0.00125 -0.00368 -0.00523  -0.0109  -0.0192  -0.0366  -0.0608   -0.132    -0.14   -0.445    -1.55
